class_index,class_name,precision,recall,f1_score,support
0,A,1.0,1.0,1.0,7
1,Angry,1.0,1.0,1.0,8
2,B,1.0,1.0,1.0,8
3,Baby,1.0,1.0,1.0,8
4,Bad,1.0,1.0,1.0,7
5,Bath,1.0,1.0,1.0,7
6,Bike,1.0,1.0,1.0,8
7,Blood,1.0,1.0,1.0,7
8,Book,1.0,1.0,1.0,8
9,Brother,1.0,1.0,1.0,7
10,Bus,1.0,1.0,1.0,7
11,C,1.0,1.0,1.0,7
12,Call,1.0,1.0,1.0,7
13,Car,1.0,1.0,1.0,8
14,Child,1.0,1.0,1.0,8
15,Coffee,1.0,1.0,1.0,7
16,Cold,1.0,1.0,1.0,7
17,Come,1.0,1.0,1.0,8
18,D,1.0,1.0,1.0,7
19,Danger,1.0,1.0,1.0,7
20,Day,1.0,1.0,1.0,8
21,Doctor,1.0,1.0,1.0,8
22,E,1.0,1.0,1.0,7
23,Eight,1.0,1.0,1.0,8
24,Emergency,1.0,1.0,1.0,7
25,Exam,1.0,1.0,1.0,7
26,F,1.0,1.0,1.0,7
27,Fail,1.0,1.0,1.0,7
28,Family,1.0,1.0,1.0,7
29,Far,1.0,1.0,1.0,8
30,Father,1.0,1.0,1.0,7
31,Finish,1.0,1.0,1.0,7
32,Fire,1.0,1.0,1.0,8
33,Five,1.0,1.0,1.0,7
34,Food,1.0,1.0,1.0,7
35,Four,1.0,1.0,1.0,7
36,Friend,1.0,1.0,1.0,7
37,G,1.0,1.0,1.0,8
38,Go,1.0,1.0,1.0,8
39,Good Morning,1.0,1.0,1.0,7
40,Good Night,1.0,1.0,1.0,7
41,Great,1.0,1.0,1.0,8
42,H,1.0,1.0,1.0,7
43,Happy,1.0,1.0,1.0,8
44,Hello,1.0,1.0,1.0,7
45,Help,1.0,1.0,1.0,7
46,Home,1.0,1.0,1.0,8
47,Hospital,1.0,1.0,1.0,7
48,Hot,1.0,1.0,1.0,8
49,How Are You,1.0,1.0,1.0,7
50,I,1.0,1.0,1.0,8
51,I Am Fine,1.0,1.0,1.0,8
52,J,1.0,1.0,1.0,8
53,K,1.0,1.0,1.0,7
54,L,1.0,1.0,1.0,8
55,Learn,1.0,1.0,1.0,7
56,Left,1.0,1.0,1.0,7
57,Love,1.0,1.0,1.0,8
58,M,1.0,1.0,1.0,8
59,Marriage,1.0,1.0,1.0,8
60,Medicine,1.0,1.0,1.0,8
61,Milk,1.0,1.0,1.0,8
62,Money,1.0,1.0,1.0,7
63,Mother,1.0,1.0,1.0,8
64,N,1.0,1.0,1.0,7
65,Namaste,1.0,1.0,1.0,7
66,Near,1.0,1.0,1.0,7
67,Night,1.0,1.0,1.0,7
68,Nine,1.0,1.0,1.0,7
69,No,1.0,1.0,1.0,8
70,Notebook,1.0,1.0,1.0,7
71,O,1.0,1.0,1.0,8
72,Okay,1.0,1.0,1.0,8
73,One,1.0,1.0,1.0,7
74,P,1.0,1.0,1.0,8
75,Pain,1.0,1.0,1.0,8
76,Pass,1.0,1.0,1.0,7
77,Pen,1.0,1.0,1.0,7
78,Please,1.0,1.0,1.0,7
79,Police,1.0,1.0,1.0,8
80,Q,1.0,1.0,1.0,8
81,R,1.0,1.0,1.0,7
82,Rice,1.0,1.0,1.0,8
83,Right,1.0,1.0,1.0,8
84,Road,1.0,1.0,1.0,8
85,S,1.0,1.0,1.0,7
86,Sad,1.0,1.0,1.0,8
87,Scared,1.0,1.0,1.0,8
88,Seven,1.0,1.0,1.0,8
89,Shop,1.0,1.0,1.0,7
90,Sister,1.0,1.0,1.0,7
91,Six,1.0,1.0,1.0,7
92,Sleep,1.0,1.0,1.0,8
93,Sorry,1.0,1.0,1.0,7
94,Start,1.0,1.0,1.0,8
95,Stop,1.0,1.0,1.0,7
96,Straight,1.0,1.0,1.0,8
97,Student,1.0,1.0,1.0,8
98,Study,1.0,1.0,1.0,8
99,T,1.0,1.0,1.0,8
100,Tea,1.0,1.0,1.0,7
101,Teacher,1.0,1.0,1.0,7
102,Ten,1.0,1.0,1.0,8
103,Thank You,1.0,1.0,1.0,8
104,Three,1.0,1.0,1.0,8
105,Time,1.0,1.0,1.0,8
106,Tired,1.0,1.0,1.0,8
107,Today,1.0,1.0,1.0,7
108,Tomorrow,1.0,1.0,1.0,8
109,Train,1.0,1.0,1.0,8
110,Two,1.0,1.0,1.0,8
111,U,1.0,1.0,1.0,7
112,V,1.0,1.0,1.0,8
113,W,1.0,1.0,1.0,7
114,Wait,1.0,1.0,1.0,7
115,Wake Up,1.0,1.0,1.0,8
116,Water,1.0,1.0,1.0,8
117,Welcome,1.0,1.0,1.0,7
118,Work,1.0,1.0,1.0,7
119,X,1.0,1.0,1.0,8
120,Y,1.0,1.0,1.0,8
121,Yes,1.0,1.0,1.0,7
122,Yesterday,1.0,1.0,1.0,7
123,Z,1.0,1.0,1.0,8
